annual_income,debt_to_income_ratio,credit_utilization,late_payments,credit_history_years,loan_amount,interest_rate,employment_years,default
98062.46,0.375,0.667,0,9.2,32630.4,12.17,5.6,0
27145.39,0.462,0.576,1,13.6,11651.62,8.21,2.6,0
42456.5,0.178,0.488,1,11.3,14800.46,8.88,7.6,0
86344.83,0.302,0.6,1,6.7,20094.7,11.9,18.1,0
61812.49,0.402,0.888,0,2.9,25079.06,12.17,4.2,1
56083.65,0.26,0.415,1,4.0,6424.21,7.67,11.2,0
48709.47,0.282,0.307,0,12.2,9783.44,6.25,11.5,0
71198.37,0.428,0.219,0,10.1,27474.79,9.2,7.3,0
118691.22,0.315,0.01,1,8.7,53659.39,6.43,4.5,0
76044.05,0.391,0.467,0,10.0,34024.09,9.2,6.6,0
47704.32,0.209,0.358,1,2.6,9482.49,9.25,12.7,0
29414.82,0.329,0.298,2,1.8,10874.35,9.99,5.3,1
52954.62,0.1,0.699,0,14.4,15512.43,7.8,4.4,0
70309.25,0.3,0.757,2,23.7,10517.1,10.16,4.3,0
104972.24,0.083,0.01,0,18.5,11819.36,4.32,9.5,0
48854.47,0.337,0.561,0,18.7,22898.56,10.27,9.2,0
22926.71,0.204,0.512,3,20.9,5565.44,10.43,5.2,1
75740.9,0.372,0.602,1,15.2,21798.85,9.72,5.6,0
39441.24,0.367,0.396,0,3.3,17861.46,9.5,5.2,0
83372.8,0.179,0.436,0,7.7,32114.89,10.47,3.1,0
50017.41,0.223,0.178,0,12.2,20749.76,4.69,4.9,0
45571.92,0.13,0.064,1,8.5,8092.15,9.19,10.6,0
63800.06,0.427,0.34,0,7.2,12968.74,10.49,4.1,0
217415.88,0.239,0.623,0,4.9,80000.0,7.78,5.4,0
119480.35,0.162,0.192,0,3.5,49980.29,5.7,4.9,0
87027.04,0.38,0.568,1,5.1,28090.72,9.91,9.4,1
93584.88,0.179,0.358,1,20.5,17047.81,8.33,4.2,0
27097.09,0.342,0.293,0,18.6,6819.37,5.27,4.1,0
38783.55,0.355,0.482,1,2.6,10887.04,13.46,7.4,0
18243.05,0.259,0.47,0,0.9,6505.08,9.91,4.4,0
167035.71,0.355,0.226,0,15.1,31175.97,5.24,5.0,0
138004.55,0.334,0.433,0,5.5,28368.03,8.03,11.2,0
74289.24,0.382,0.483,0,3.0,36021.49,10.95,13.7,0
76237.88,0.261,0.145,0,13.1,28509.89,8.0,4.4,0
30013.9,0.168,0.626,0,5.1,8062.97,7.09,14.8,1
68043.82,0.293,0.64,0,21.0,15855.99,13.09,6.9,0
170365.21,0.262,0.175,2,17.7,15062.52,3.89,0.7,1
76989.22,0.242,0.626,0,3.5,35847.24,7.71,5.1,0
62791.0,0.065,0.126,0,8.8,15270.73,6.95,19.3,0
27050.84,0.293,0.394,0,13.3,7693.4,7.89,6.7,0
142189.24,0.215,0.333,0,9.8,20721.7,7.73,14.0,0
65619.21,0.198,0.228,1,7.3,21464.03,7.56,4.4,0
27095.18,0.261,0.579,0,6.9,13294.35,7.38,8.4,0
40626.28,0.347,0.887,0,8.0,14450.03,11.13,22.7,1
33109.75,0.387,0.328,0,12.7,15927.86,8.69,3.8,0
64846.86,0.142,0.3,2,4.1,26027.61,7.43,2.9,1
80379.42,0.242,0.379,1,5.5,37012.25,7.37,3.9,0
54093.74,0.341,0.33,0,2.4,6768.96,10.39,3.9,0
129342.46,0.365,0.111,1,6.0,27376.84,7.23,7.9,0
89020.86,0.132,0.21,0,7.1,33650.2,6.68,6.1,0
139917.03,0.216,0.44,0,13.9,18884.6,6.15,10.4,0
67196.02,0.102,0.192,0,7.6,19962.87,9.95,4.9,0
250000.0,0.356,0.357,0,7.7,41376.97,9.74,9.8,0
59945.14,0.341,0.482,0,12.6,15168.81,7.07,3.3,0
46824.91,0.362,0.029,1,18.3,12794.35,5.83,4.9,0
33750.89,0.441,0.339,1,3.3,7312.15,8.56,8.2,0
65056.65,0.261,0.103,0,5.2,21711.99,6.49,9.8,0
26473.07,0.31,0.339,1,3.6,3105.32,11.04,4.7,0
90946.98,0.271,0.569,1,4.1,30354.18,11.08,16.6,0
28158.01,0.351,0.545,1,14.1,8001.41,12.84,9.6,1
85551.05,0.278,0.383,0,13.5,9678.13,6.7,14.5,0
37530.43,0.41,0.521,1,11.7,5842.32,11.0,2.3,0
49503.21,0.433,0.185,0,8.7,7349.47,4.45,8.1,0
119828.12,0.24,0.532,0,5.4,45838.48,10.22,12.5,0
191701.22,0.414,0.749,0,19.5,80000.0,6.76,15.8,0
39018.26,0.186,0.302,1,20.2,13659.45,4.19,9.1,0
69575.98,0.336,0.621,0,22.0,22882.7,11.37,6.2,0
60550.2,0.256,0.01,0,27.8,23926.2,6.12,1.2,0
44275.4,0.426,0.612,0,7.3,13471.29,9.75,3.9,0
52511.88,0.245,0.325,0,12.1,3851.86,7.09,2.6,0
97303.16,0.252,0.682,1,11.9,41283.14,10.72,10.1,0
53610.48,0.397,0.488,1,4.9,7626.38,9.54,1.9,0
154917.57,0.266,0.971,1,14.7,27779.82,11.44,4.0,1
86269.37,0.216,0.294,0,3.7,36194.87,7.78,3.7,0
49326.54,0.317,0.541,0,5.7,21510.9,9.11,8.8,0
55412.5,0.28,0.136,0,9.2,6760.56,6.13,3.8,0
44675.34,0.305,0.393,0,4.4,7911.99,11.35,15.1,0
80324.18,0.512,0.521,3,14.4,33778.5,11.63,1.6,1
27093.01,0.348,0.431,3,32.4,9433.64,7.76,5.2,0
33742.28,0.343,0.435,0,7.6,11337.2,7.52,2.2,0
40505.47,0.323,0.724,0,3.9,7719.49,11.0,6.8,1
114151.24,0.05,0.424,1,5.7,8056.51,10.25,13.3,0
136147.23,0.071,0.625,0,4.7,19414.53,8.64,6.5,0
152997.27,0.331,0.224,0,13.3,21759.61,6.92,14.2,0
93333.77,0.178,0.183,0,6.9,38790.69,7.44,13.3,0
81450.1,0.056,0.01,0,6.7,16799.58,3.5,4.9,0
89954.5,0.295,0.782,0,0.8,17904.91,9.85,5.9,0
40678.64,0.37,0.521,0,6.1,19090.52,8.03,4.2,0
35495.33,0.167,0.045,0,11.9,10050.1,6.03,6.5,0
98650.81,0.22,0.102,0,9.3,28785.85,7.06,4.0,0
39909.72,0.483,0.694,0,3.4,19219.24,11.66,8.3,0
57630.98,0.219,0.471,1,9.2,7539.55,7.61,1.4,1
52323.82,0.264,0.661,0,9.6,11564.36,10.42,2.7,0
48056.97,0.487,0.783,2,5.3,13975.56,12.92,5.2,1
99817.36,0.216,0.626,0,22.8,24882.23,9.71,5.9,0
118774.88,0.084,0.259,1,5.0,9456.6,9.17,3.2,0
105028.86,0.246,0.01,0,4.8,38402.16,5.1,0.8,0
52694.26,0.288,0.328,2,29.9,21344.3,7.81,22.4,0
81557.16,0.311,0.377,1,12.6,28235.22,9.59,9.8,0
54586.35,0.199,0.201,1,15.2,22709.18,6.33,7.1,0
68248.63,0.122,0.341,0,5.0,13188.33,6.81,4.7,0
244388.09,0.159,0.438,0,6.0,24318.15,11.3,0.7,0
62577.26,0.456,0.637,0,5.3,19057.65,10.33,4.7,0
82310.41,0.336,0.797,0,13.3,9067.75,9.47,10.1,0
49712.61,0.295,0.338,1,9.4,6772.87,9.78,8.1,1
130954.19,0.218,0.046,0,16.5,49578.99,3.67,6.7,0
128045.77,0.082,0.62,0,8.8,11347.65,10.0,6.3,0
106234.21,0.271,0.1,0,11.1,18612.31,6.22,3.6,0
76040.09,0.5,0.596,0,14.3,22881.72,11.79,1.0,0
84187.81,0.299,0.552,0,23.2,39906.61,9.35,1.5,0
122617.86,0.441,0.559,0,5.5,54279.99,9.22,8.6,1
66563.53,0.422,0.958,0,0.7,33133.27,13.24,10.0,1
69712.6,0.383,0.238,0,10.6,6361.35,8.33,2.2,0
126278.88,0.423,0.152,0,13.3,50569.62,9.56,4.3,0
51415.84,0.143,0.28,1,10.3,10856.02,5.08,8.8,0
54104.8,0.118,0.764,0,12.1,5250.01,12.11,8.1,0
47151.62,0.458,0.675,2,2.1,9082.98,13.85,6.1,1
33618.56,0.307,0.076,0,12.9,12570.38,7.92,9.2,0
88463.95,0.23,0.483,2,22.5,28133.84,8.45,1.3,0
49490.33,0.352,0.254,0,15.8,12970.23,4.51,6.1,0
46718.5,0.379,0.285,1,2.2,10989.59,10.17,4.1,0
57716.4,0.364,0.853,0,12.9,25100.49,14.41,3.1,0
71053.1,0.158,0.584,1,6.4,7837.54,10.99,8.0,0
58036.73,0.418,0.067,1,4.7,9318.79,4.36,8.0,0
73107.84,0.452,0.322,2,21.5,16341.91,8.55,12.6,0
61529.39,0.31,0.322,1,7.9,23788.32,8.2,12.0,0
59011.37,0.272,0.136,0,17.0,21707.51,6.4,5.5,0
57081.0,0.203,0.144,0,11.0,7584.71,5.75,6.2,0
140202.13,0.273,0.01,0,9.8,8084.48,5.38,2.5,0
24089.57,0.131,0.341,0,13.8,5035.39,7.07,6.1,0
47851.85,0.361,0.357,3,5.7,11229.42,9.27,7.5,0
52922.96,0.39,0.316,0,13.4,18938.08,5.21,7.2,0
84733.39,0.199,0.26,1,11.7,16410.42,6.66,2.3,0
32320.93,0.428,0.548,1,14.2,8398.84,11.19,12.3,0
43408.29,0.573,0.832,2,28.2,18641.09,11.44,6.2,1
62506.71,0.433,0.461,0,9.5,18028.93,10.33,3.7,0
121375.79,0.265,0.292,1,7.4,31981.72,7.98,10.0,0
66816.52,0.404,0.894,1,10.7,8411.27,13.82,5.7,1
35975.29,0.248,0.57,3,6.5,12000.0,10.31,18.8,1
42089.48,0.605,0.695,1,6.6,8851.15,15.25,6.8,1
101037.81,0.164,0.745,1,7.9,19830.22,10.19,6.0,0
46481.33,0.402,0.349,1,10.0,4103.77,9.56,7.6,0
81504.96,0.332,0.01,0,2.3,25159.44,5.95,12.5,0
51986.36,0.285,0.985,1,12.6,17015.02,12.43,2.5,1
42886.0,0.47,0.74,1,8.5,17598.31,10.5,6.7,1
250000.0,0.273,0.439,0,2.7,79514.18,6.46,5.3,0
59305.77,0.252,0.794,0,18.2,25457.2,12.74,7.6,0
66790.7,0.338,0.606,1,20.6,20459.61,9.5,8.8,0
56194.03,0.201,0.144,0,8.5,17222.68,3.5,5.1,0
101087.15,0.286,0.049,0,6.5,41603.67,4.82,5.5,0
93181.9,0.484,0.405,0,10.9,34806.19,7.31,1.6,0
54621.18,0.103,0.235,0,14.8,13964.14,8.03,14.0,0
66292.07,0.165,0.537,1,6.1,30636.72,10.27,2.1,0
45418.72,0.13,0.599,0,7.3,19268.21,8.29,15.1,0
37195.28,0.415,0.166,0,18.4,11734.97,8.22,5.5,0
89297.4,0.376,0.357,0,18.8,45769.75,7.97,2.5,0
51372.02,0.188,0.201,0,7.1,15524.9,8.03,2.4,0
19258.33,0.305,0.719,0,6.6,3566.86,11.33,7.2,0
220281.48,0.22,0.081,0,6.1,55394.5,7.38,7.5,0
46632.46,0.18,0.535,1,10.2,21623.11,10.23,1.7,1
69142.22,0.241,0.319,0,5.3,4666.62,6.2,9.6,0
181662.93,0.249,0.395,0,16.3,28311.85,8.2,6.0,0
73110.78,0.056,0.232,0,7.6,25180.33,6.53,2.4,0
66324.93,0.347,0.348,1,4.2,31090.42,10.92,7.4,0
32571.58,0.482,0.583,2,2.4,14096.82,10.24,9.4,1
38359.81,0.275,0.335,0,6.7,4322.82,8.45,6.3,0
62473.42,0.263,0.496,0,5.9,5789.61,10.13,10.3,0
87454.92,0.249,0.166,0,7.0,6180.91,7.28,3.1,0
82979.0,0.199,0.171,0,10.1,17657.47,7.37,4.1,0
45973.32,0.4,0.957,1,12.2,11403.42,12.56,4.2,1
62999.89,0.415,0.734,1,17.7,23123.74,7.76,11.8,1
22729.49,0.281,0.779,3,5.8,5637.07,15.01,11.0,1
86930.49,0.289,0.164,0,9.7,39325.25,3.75,11.4,0
82132.46,0.226,0.497,0,13.5,17887.76,6.07,0.5,0
181759.13,0.372,0.606,0,11.1,26913.83,8.77,7.4,0
65647.43,0.374,0.193,0,28.2,25818.76,6.49,0.3,0
42046.44,0.314,0.368,0,8.2,3558.05,9.92,2.0,0
78938.0,0.127,0.684,0,6.5,23032.67,11.01,2.8,1
57264.76,0.218,0.71,0,15.7,24346.55,7.7,8.5,0
80773.66,0.287,0.178,1,4.0,20235.41,7.02,9.0,1
46045.04,0.479,0.485,1,7.5,24376.67,9.04,4.3,0
27506.93,0.538,1.0,3,16.7,10442.6,16.04,1.3,1
35547.5,0.438,0.372,0,3.9,10328.37,10.54,5.4,0
80776.41,0.17,0.139,0,10.5,19535.01,3.5,3.5,0
166926.47,0.356,0.462,0,7.6,19543.52,9.27,1.6,0
77641.95,0.263,0.252,1,7.2,7846.89,7.79,13.4,0
95525.54,0.512,0.262,0,4.6,42070.13,6.57,7.4,0
91169.42,0.32,0.5,0,10.8,13533.72,10.35,10.8,0
86853.36,0.067,0.553,0,4.0,25730.44,8.92,10.4,0
51070.92,0.225,0.01,0,13.2,3527.42,5.55,3.7,0
105300.89,0.242,0.565,0,4.2,40532.11,10.65,2.8,0
124577.65,0.122,0.701,0,13.9,29982.05,11.55,3.9,0
103942.88,0.365,0.315,0,7.3,32554.13,8.3,4.6,0
105993.29,0.222,0.206,0,7.0,18417.75,7.06,3.2,0
62663.76,0.347,0.013,0,12.8,4937.5,5.27,2.4,0
62643.5,0.272,0.135,1,18.3,7835.1,4.24,6.4,0
85093.88,0.311,0.01,0,14.6,34544.27,3.5,4.7,0
83897.24,0.271,0.696,1,11.9,5064.17,9.4,5.9,0
84728.17,0.395,1.0,4,11.2,34148.85,13.58,5.0,1
27081.53,0.197,0.249,0,14.0,10958.84,4.59,2.0,0
82240.82,0.354,0.358,1,6.3,14628.4,11.25,4.3,0
48785.99,0.386,0.537,2,8.5,22660.64,10.71,12.3,1
22117.66,0.425,0.52,6,18.4,4912.66,11.74,4.0,1
113228.36,0.225,0.524,1,6.9,6448.21,9.1,4.6,0
50940.97,0.164,0.092,0,6.4,18784.51,6.91,9.0,0
54243.5,0.168,0.151,0,4.5,16034.92,6.42,3.8,0
125252.46,0.562,0.702,0,20.1,47475.78,13.2,1.9,0
129307.36,0.094,0.299,2,12.8,23369.29,5.61,11.6,0
93177.46,0.295,0.097,1,10.7,29230.2,9.09,9.1,0
72089.37,0.492,0.421,0,6.3,8973.2,7.65,5.2,0
58609.61,0.202,0.858,1,8.0,19375.28,11.12,2.2,1
188555.76,0.339,0.225,0,22.4,55587.12,6.55,5.7,0
102100.73,0.287,0.526,0,5.1,28299.27,9.31,11.8,0
59128.15,0.18,0.699,1,6.5,4779.04,12.62,6.0,0
36073.78,0.28,0.297,1,9.4,2883.3,8.76,4.5,0
93150.08,0.14,0.01,0,14.8,18142.86,3.5,3.6,0
63786.61,0.176,0.44,0,12.9,18910.86,5.05,4.6,0
37429.9,0.171,0.146,0,11.2,14044.68,8.12,7.8,0
77461.64,0.221,0.88,2,13.7,10940.05,13.95,7.4,0
50822.55,0.368,0.809,0,12.1,21044.82,9.06,9.3,1
85572.0,0.118,0.912,0,14.7,20693.31,9.7,19.4,0
79460.65,0.282,0.699,0,10.7,13864.89,11.13,3.7,1
50351.89,0.369,0.339,3,9.9,12693.49,8.41,2.9,1
92135.44,0.275,0.467,0,14.3,28628.41,7.48,1.7,0
60097.16,0.101,0.276,0,10.5,20931.35,6.73,5.3,0
52514.29,0.519,0.803,0,5.2,14355.72,10.58,5.4,0
53494.74,0.386,0.166,1,11.6,19512.17,8.81,2.3,0
83719.21,0.318,0.845,1,10.4,34105.95,15.42,16.4,1
46205.38,0.287,0.881,0,6.9,22023.45,11.52,10.7,1
123537.53,0.154,0.682,0,20.6,34037.66,6.19,13.8,0
180850.3,0.283,0.429,0,8.4,56750.96,9.59,3.2,0
56991.85,0.358,0.147,0,13.9,11938.27,5.71,11.3,0
18000.0,0.374,0.757,0,10.0,6485.89,8.68,3.0,1
107644.31,0.294,0.211,0,6.8,35441.7,4.59,9.9,0
53438.86,0.182,0.613,0,4.7,8374.37,11.27,4.8,0
59315.58,0.335,0.072,0,13.6,12643.85,5.19,7.0,0
44191.52,0.442,0.222,0,13.1,20063.45,7.34,21.1,0
51815.53,0.303,0.226,0,18.6,9702.28,6.15,5.9,0
151385.46,0.072,0.01,1,6.8,43752.14,6.13,10.4,0
79178.84,0.093,0.176,0,4.5,19977.01,5.59,7.1,0
120715.95,0.441,0.825,1,1.8,49208.17,11.75,4.5,1
85484.81,0.337,0.492,1,14.5,34779.98,9.12,6.1,0
61425.46,0.262,0.553,0,14.9,15432.16,7.63,4.6,0
57322.57,0.304,0.01,1,12.2,11032.44,8.84,1.7,0
92702.58,0.161,0.162,0,7.2,18161.94,7.62,0.9,0
98386.34,0.26,0.355,0,15.1,34933.72,9.46,4.8,0
86706.55,0.238,0.66,2,7.9,28834.88,10.66,6.0,0
90435.29,0.174,0.019,0,3.1,35849.72,5.93,2.3,0
76822.88,0.324,0.258,1,7.6,33195.85,9.32,11.6,0
87497.05,0.175,0.339,0,22.6,23795.56,8.14,5.1,0
53938.55,0.101,0.19,0,10.0,5496.35,4.27,5.8,0
41856.32,0.284,0.311,0,4.3,8401.91,9.35,17.0,0
61164.87,0.199,0.476,0,9.2,15843.22,8.49,7.5,0
57473.93,0.268,0.793,2,20.3,19832.71,16.54,6.6,1
70880.2,0.456,0.573,1,5.7,32339.64,10.12,11.5,0
159052.56,0.26,0.01,0,9.1,41896.06,7.02,5.2,0
30888.77,0.285,0.342,0,18.2,9729.16,5.35,11.5,0
53803.91,0.226,0.167,0,9.1,22566.23,6.64,11.2,0
57832.19,0.285,0.279,0,16.9,26297.18,5.67,3.9,0
117852.71,0.292,0.431,1,7.4,20368.86,12.94,7.4,0
55674.8,0.294,0.642,0,9.7,16643.65,11.25,19.6,0
44935.54,0.246,0.555,0,6.2,18325.34,7.95,11.3,0
31454.01,0.177,0.349,0,2.3,7859.48,8.92,4.0,0
64999.1,0.415,0.312,1,6.8,32491.68,9.51,1.3,0
52125.29,0.339,0.655,2,3.9,13646.85,12.69,4.6,1
46307.88,0.297,0.197,0,7.0,14577.63,6.09,5.2,0
45418.15,0.215,0.331,0,5.0,5991.1,5.73,2.4,0
108877.85,0.339,0.232,1,15.2,32016.19,6.27,7.0,0
36770.06,0.233,0.606,2,8.3,9711.72,7.95,2.1,0
47606.17,0.403,0.217,2,21.4,4064.64,8.16,10.3,0
122724.44,0.213,0.312,2,5.1,20476.72,7.96,5.3,0
78843.7,0.12,0.201,0,13.8,33577.72,4.68,6.8,0
80050.38,0.455,0.575,0,13.8,28617.96,9.95,9.6,0
99571.62,0.063,0.131,0,3.4,24267.1,8.65,1.4,0
58990.18,0.215,0.152,3,10.0,24514.31,8.7,3.8,1
59312.99,0.461,0.298,1,6.9,14491.04,7.93,1.8,0
84036.9,0.311,0.609,0,7.5,16612.71,10.28,0.8,0
105350.22,0.437,0.482,0,7.2,40858.86,9.48,11.5,0
85508.41,0.219,0.981,1,9.2,26419.66,12.2,20.3,0
34245.58,0.242,0.494,0,5.6,5421.72,10.05,6.4,0
163594.6,0.136,0.158,1,3.2,12912.84,7.23,1.4,0
57882.28,0.229,0.416,0,22.4,23509.57,7.17,2.2,0
57089.18,0.207,0.329,1,6.7,15901.91,10.51,2.8,0
68112.12,0.369,0.086,1,8.4,26294.67,8.91,10.7,0
79571.25,0.202,0.722,0,7.7,15689.26,9.18,3.3,0
79592.92,0.149,0.156,0,7.3,25465.41,4.75,6.9,0
67272.47,0.185,0.748,0,2.3,4430.15,11.47,6.0,0
119555.67,0.176,0.01,0,16.7,40197.87,4.92,9.5,0
72341.33,0.502,0.137,0,9.1,21829.0,7.28,5.7,0
62748.27,0.427,0.357,0,4.0,24253.8,7.16,0.5,0
53894.76,0.159,0.127,1,10.1,17908.9,5.62,8.7,0
78767.38,0.124,0.095,0,9.4,36813.11,6.6,11.3,0
54328.52,0.321,0.776,1,7.9,8762.97,12.01,0.7,0
31876.32,0.138,0.53,1,5.3,6552.78,4.97,12.2,0
147341.28,0.036,0.351,0,5.2,23186.18,4.87,3.7,0
51432.85,0.273,0.111,0,6.5,18166.28,6.65,0.5,0
144344.06,0.479,0.338,2,14.5,49948.67,8.46,5.4,0
32454.86,0.363,0.261,0,12.3,13557.02,10.12,3.9,0
48142.92,0.368,0.926,0,20.0,19051.04,10.71,6.2,1
67601.93,0.243,0.077,0,9.5,12434.26,6.75,5.1,0
46799.92,0.214,0.1,0,4.7,4818.44,5.79,3.6,0
48974.67,0.426,0.523,0,14.4,14420.9,10.38,16.3,0
204882.22,0.042,0.01,0,17.8,23055.99,5.76,2.3,0
57522.35,0.404,0.455,0,5.0,11097.91,10.04,5.9,0
43840.18,0.377,0.333,1,5.0,21344.9,9.61,1.1,0
24687.88,0.299,0.21,1,8.4,11290.38,6.51,8.6,1
32609.53,0.238,0.381,0,15.6,3020.81,7.15,2.1,0
46145.67,0.361,0.155,0,12.0,19229.47,7.45,17.4,0
42282.87,0.197,0.441,1,14.7,16265.81,9.19,4.2,0
58833.0,0.496,0.536,1,11.7,9290.44,10.8,2.7,1
22006.88,0.198,0.54,1,13.3,6925.43,9.75,4.5,0
62317.71,0.428,0.368,1,25.8,13502.01,9.8,4.4,0
127862.22,0.287,0.833,0,18.3,11097.88,10.4,7.3,0
151725.97,0.119,0.366,0,5.4,14461.82,8.13,1.6,0
28066.51,0.16,0.142,0,5.5,3905.91,6.11,4.0,0
43531.99,0.199,0.42,2,12.8,8304.84,10.28,6.4,0
38455.57,0.282,0.601,1,4.9,11498.56,10.83,3.5,1
86385.49,0.173,0.456,0,18.0,11235.82,6.32,9.5,0
38629.58,0.451,0.468,0,13.6,4829.24,9.68,9.9,0
120296.7,0.314,0.51,0,15.0,61381.66,10.02,11.0,0
78208.05,0.146,0.612,0,8.4,25456.64,8.57,13.2,0
73109.44,0.122,0.189,0,7.3,29043.36,7.42,4.2,0
141406.87,0.411,0.382,0,4.0,52605.79,9.58,18.0,0
58950.8,0.191,0.498,0,9.5,24298.65,10.18,4.2,0
82255.08,0.429,0.306,1,9.2,26235.4,7.29,7.6,0
38339.89,0.517,0.631,1,4.2,11849.59,14.71,2.4,1
30709.73,0.27,0.378,1,12.8,13235.02,7.37,6.3,0
44338.04,0.417,0.324,0,9.8,21800.07,7.72,2.5,0
177789.0,0.316,0.656,1,14.7,21463.04,9.33,9.8,0
63493.23,0.28,0.426,0,4.1,28286.59,8.09,15.4,0
80166.87,0.292,0.513,0,12.9,12253.03,7.29,4.8,0
58639.71,0.251,0.371,0,14.5,7291.73,5.02,3.2,0
81469.39,0.44,0.534,0,2.8,10976.41,10.15,6.1,0
38131.73,0.264,0.207,1,31.0,15386.8,8.59,1.7,0
31502.27,0.123,0.688,1,5.1,15110.93,11.92,5.8,1
42170.2,0.193,0.733,3,4.5,7282.94,11.76,1.4,1
224533.49,0.166,0.498,0,23.5,63385.72,9.11,3.2,0
206595.03,0.29,0.01,0,11.9,59960.84,4.59,4.5,0
70747.59,0.101,0.079,0,24.8,8604.9,3.5,1.1,0
55865.89,0.263,0.232,0,22.3,5032.35,9.11,1.6,0
28840.83,0.255,0.709,1,19.5,10592.43,12.06,1.6,0
64915.89,0.246,0.415,0,17.8,31386.32,11.21,9.9,0
70320.96,0.29,0.408,0,5.0,9129.37,5.11,7.6,0
124528.83,0.282,0.1,0,5.3,17312.21,6.89,11.5,0
152362.7,0.035,0.2,1,6.5,44667.8,9.23,3.4,0
61316.48,0.186,0.585,0,4.4,19304.92,10.52,9.2,0
95763.85,0.373,0.425,0,5.4,44638.28,9.16,4.9,0
45136.87,0.166,0.309,0,14.4,9713.4,6.96,10.9,0
78647.48,0.364,0.703,0,17.4,15714.52,10.67,2.4,0
52139.23,0.207,0.343,0,17.4,10617.91,7.35,1.1,0
75070.41,0.191,0.485,0,16.4,20368.0,11.89,14.6,0
78611.23,0.285,0.59,0,9.4,16274.45,11.25,4.5,0
64568.27,0.431,0.554,0,12.8,16587.13,10.05,5.4,1
111456.51,0.124,0.53,1,15.1,38166.23,8.61,11.8,1
32932.3,0.346,0.154,0,14.7,2780.53,7.18,2.9,0
39522.25,0.182,0.096,1,6.8,13065.98,3.78,17.3,0
52383.65,0.388,0.567,0,4.9,14097.37,10.14,6.2,0
36224.65,0.278,0.109,1,14.0,10075.24,7.39,2.5,0
51461.09,0.293,0.792,0,6.9,21052.16,11.55,2.8,1
59276.88,0.291,0.4,1,1.0,19172.99,7.57,12.0,1
129925.69,0.115,0.711,0,1.8,46824.64,9.44,3.6,0
63764.77,0.181,0.908,1,14.9,31894.6,12.37,26.6,0
